Canada,3845,17.41,81.26,112.762,3573.15
Lithuania,3556,31.13,88.82,48.41,1626.43
Cambodia,2256,3.04,10.43,503.796,10179.69
Ethiopia,4253,17.41,62.40,110.579,6026.71
Aruba,1080,10.04,75.32,146.886,7366.33
Argentina,4409,8.99,48.58,335.18,10843.01
Bolivia,4611,5.65,10.45,223.454,9673.80
Ghana,3917,2.31,2.24,335.707,5108.54
Slovenia,2847,16.33,55.56,64.426,1361.37
Guatemala, 252,12.69,27.78,1039.686,8601.80
Kuwait,3167,16.18,53.29,185.999,4808.57
Jordan,2222,19.44,53.82,144.123,3797.07
Dominica,4915,17.31,63.51,303.65,6540.49
Liberia,3142,14.02,33.81,202.289,5076.24
Maldives,2454,5.82,20.94,347.038,8683.61
Pakistan,4774,6.71,2.72,417.989,6200.78
Oman,4570,11.85,53.32,329.402,5964.68
Tanzania,2194,3.69,41.78,216.193,7606.69
Seychelles,3060,3.60,16.52,251.585,8292.01
Gabon,3793,2.50,14.05,334.464,9
Jersey,1525,62.33,92.90,26.748,253.89
Jamaica,1221,17.96,78.29,206.107,7367.11
Albania,2455,28.98,65.76,68.979,1967.77
Macau,1849,5.77,71.28,304.169,9744.03
Guam,1332,6.50,57.08,395.378,12136.36
Kosovo,2910,40.83,90.53,46.771,2034.06
India,5115,21.79,86.22,140.0,6265.34
Azerbaijan, 777,21.91,84.25,137.733,4142.24
Lesotho,4103,2.44,33.81,266.952,9449.59
Kenya,4476,14.58,28.91,211.349,6934.01
Tajikistan,3402,11.05,35.11,246.38,5492.33
Turkey,4106,27.64,84.24,111.961,2457.97
Bangladesh,4773,11.77,69.93,170.549,8167.50
Mauritania,2559,27.73,86.27,131.474,3893.37
Mongolia,1057,2.23,43.02,375.231,7097.69
France,3446,66.66,60.42,17.072,280.43
Rwanda,3020,9.01,4.76,546.77,6687.93
Slovakia,2998,50.90,91.57,40.927,1455.18
Peru,4839,9.74,22.27,241.317,10005.87
Norway,2301,38.29,91.45,80.005,1107.78
Malawi,1729,1.38,4.11,372.386,8079.87
Montenegro,3098,39.72,84.00,88.494,1926.37
Armenia,2303,15.39,55.37,171.926,3769.44
Ukraine,3994,23.47,66.68,63.497,1831.18
Bahrain,2560,6.20,35.85,275.832,5236.23
Finland,1303,45.63,87.24,60.175,1825.47
Libya,1100,30.34,61.08,68.928,2426.10
Indonesia,1855,8.93,59.31,409.72,11053.58
Mauritius,3825,12.58,58.84,288.994,9866.48
Liechtenstein, 440,15.38,60.99,50.413,994.48
Belarus,3704,32.70,72.26,89.098,2035.17
Mali,3551,6.37,80.98,153.75,4342.28
Bulgaria,4560,20.76,89.87,67.545,2063.47
Romania,4642,44.93,91.04,74.518,1833.98
Angola,3517,7.17,70.67,265.799,6872.93
Cyprus,3640,15.69,74.55,257.547,3359.65
Sweden,3393,26.33,49.80,78.384,1226.83
Qatar, 822,13.56,79.51,274.182,5378.34
Malaysia,4487,3.80,8.40,337.093,10713.73
Austria,3922,42.54,90.16,61.187,1117.72
Vietnam,4026,7.24,40.28,282.177,9386.21
Mozambique,1242,3.56,26.58,281.011,9269.43
Uganda,3439,1.91,35.85,523.795,6569.94
Hungary,3268,28.38,92.24,46.92,1463.00
Niger,2335,13.97,38.45,145.654,5033.93
Reunion,3925,8.95,31.65,231.87,9837.45
Brazil,3719,9.71,6.05,332.981,7021.89
Guinea,4573,10.87,8.97,164.591,4772.74
Panama,3913,13.47,71.09,218.12,8320.76
Luxembourg,4769,57.81,93.25,34.259,640.45
Andorra,2530,47.46,89.69,53.469,1039.36
Ireland,1756,65.91,92.99,26.175,326.65
Nigeria,2335,21.17,48.42,104.848,5033.93
Ecuador,1280,9.56,52.54,269.386,9065.34
Brunei,3471,4.31,8.29,447.036,11412.10
Australia,4056,12.75,7.43,232.752,7613.05
Iran,4342,0.46,0.42,573.884,4524.21
Russia,4730,19.53,56.36,156.89,1577.21
Chile,4018,10.07,34.64,323.275,11529.96
Belgium,2955,64.96,92.93,42.402,486.82
Haiti,4124,1.32,16.56,258.777,7009.61
Iraq,2053,19.99,80.95,154.651,4020.36
