Canada,3845,12.94,80.78,121.951,3573.15
Lithuania,1385,39.34,89.34,54.602,1626.43
Cambodia,2504,5.60,4.95,557.202,10179.69
Ethiopia,4253,20.15,75.39,144.555,6026.71
Aruba,1080,9.97,79.39,174.267,7366.33
Argentina,5126,1.17,3.95,480.884,10475.67
Bolivia,4611,2.02,9.33,229.104,9673.80
Ghana,3917,2.54,2.52,438.747,5108.54
Slovenia,2847,40.92,82.28,62.777,1361.37
Guatemala,4189,6.40,25.70,294.977,8601.80
Kuwait,3167,14.75,22.12,193.261,4808.57
Jordan,3650,22.62,84.49,134.117,3797.07
Dominica,4915,16.88,79.33,346.749,6540.49
Liberia,3142,13.35,49.40,217.373,5076.24
Maldives,2454,4.98,14.79,338.638,8683.61
Pakistan,4774,6.64,5.28,363.087,6200.78
Oman,4570,8.67,34.84,313.483,5964.68
Tanzania,3643,11.75,65.03,319.059,7606.69
Seychelles,3060,9.07,17.22,229.748,8292.01
Gabon,4922,12.73,18.80,170.967,5788.74
Jersey,1525,70.09,92.83,47.451,253.89
Jamaica,1576,15.02,72.99,170.126,7367.11
Albania,2455,29.76,66.41,68.993,1967.77
Macau,1849,6.75,53.60,310.511,9744.03
Guam,1332,7.88,53.83,392.173,12136.36
Kosovo,2910,41.50,90.68,46.786,2034.06
India,5115,13.91,65.07,195.845,6265.34
Azerbaijan,2268,21.43,61.82,122.531,4142.24
Lesotho,4103,2.75,50.05,235.663,9449.59
Kenya,4747,13.18,77.65,393.64,6934.01
Tajikistan,3402,6.26,46.55,165.95,5492.33
Turkey,4106,26.40,85.32,110.891,2457.97
Bangladesh,3624,7.26,42.21,323.899,8167.50
Mauritania,2559,17.68,31.75,1673.264,3893.37
Mongolia,2853,10.04,34.74,337.656,7097.69
France,3446,64.95,89.90,61.701,280.43
Rwanda,3020,8.47,20.68,419.064,6687.93
Slovakia,2998,51.46,92.34,49.554,1455.18
Peru,4839,8.71,25.05,204.501,10005.87
Norway,2301,37.43,90.87,80.507,1107.78
Malawi,1729,2.70,3.55,409.191,8079.87
Montenegro,3098,41.46,82.89,59.512,1926.37
Armenia,2303,14.93,65.20,147.759,3769.44
Ukraine,3994,16.28,44.36,66.671,1831.18
Bahrain,2560,5.96,37.19,276.47,5236.23
Finland,1303,45.34,67.97,54.552,1825.47
Libya,1100,29.31,65.04,67.954,2426.10
Indonesia,4091,11.84,37.80,457.835,11053.58
Mauritius,3825,8.45,14.84,259.095,9866.48
Liechtenstein, 440,14.63,64.66,54.624,994.48
Belarus,3704,26.85,55.00,81.555,2035.17
Mali,3551,7.16,15.33,143.468,4342.28
Bulgaria,4560,27.05,88.44,58.77,2063.47
Romania,4642,41.52,90.67,133.891,1833.98
Angola,3517,8.25,71.28,301.599,6872.93
Cyprus,3640,19.16,83.54,248.26,3359.65
Sweden,3393,12.99,48.90,63.305,1226.83
Qatar, 822,13.64,79.76,247.628,5378.34
Malaysia,4348,8.58,38.04,368.139,10713.73
Austria,3922,43.58,84.02,58.567,1117.72
Vietnam,4026,6.58,29.76,439.795,9386.21
Mozambique,2280,1.96,35.45,1545.224,9269.43
Uganda,3439,9.48,53.69,260.037,6569.94
Hungary,3268,51.93,91.53,62.862,1463.00
Niger,3939,14.03,80.98,114.836,5033.93
Reunion,3925,9.91,21.86,284.27,9837.45
Brazil,3719,9.00,4.19,298.514,7021.89
Guinea,4573,3.04,10.05,233.511,4772.74
Panama,1913,12.35,73.12,232.854,8320.76
Luxembourg,1360,69.55,93.86,25.622,640.45
Andorra,2530,46.42,89.51,52.212,1039.36
Ireland,1041,56.04,90.95,153.955,326.65
Nigeria,3939,3.27,75.93,161.254,5033.93
Ecuador,1280,12.22,39.47,246.32,9065.34
Brunei,3471,5.37,7.75,451.384,11412.10
Australia,4056,11.11,4.25,433.929,7613.05
Iran,4342,0.44,0.40,306.37,4524.21
Russia,1352,29.89,65.60,91.906,1577.21
Chile,1858,6.63,41.07,394.925,11529.96
Belgium,2955,63.30,92.92,23.339,486.82
Haiti,4124,2.75,5.91,179.117,7009.61
Iraq,4006,20.98,43.35,92.667,4020.36
Georgia, 934,23.03,84.35,127.218,3706.43
Denmark,3628,34.99,91.03,64.64,908.52
Philippines,3756,3.07,47.17,3531.955,10766.26
Moldova,4784,20.59,70.32,90.27,2108.40
Morocco,4501,12.72,20.74,116.649,1946.40
Croatia,2136,42.24,89.03,70.545,1495.80
Micronesia,2288,3.58,4.78,369.301,13277.78
Thailand,1219,11.91,73.66,210.182,9695.06
Switzerland,4205,56.00,92.60,67.068,835.43
Grenada,4914,11.68,77.65,367.429,6849.46
Belize,3312,3.58,22.98,178.353,8194.65
Portugal,1902,45.38,89.20,122.518,1234.33
Estonia,3979,36.47,90.46,60.862,1920.02
Uruguay,1546,9.22,21.08,303.452,10925.17
Mexico,1954,16.08,78.77,186.062,7794.60
Lebanon,5050,11.87,36.69,87.751,3616.36
Uzbekistan,3687,14.62,83.55,177.295,5397.14
Tunisia, 883,38.17,91.84,56.259,1915.27
Spain, 890,48.62,60.64,62.037,910.69
Colombia,3889,14.26,5.09,158.027,7826.85
Burundi,4368,8.84,3.60,194.191,6805.42
Fiji,2876,4.29,32.90,540.12,16310.26
Madagascar,1672,9.18,43.77,339.563,9211.52
Italy,3295,9.58,14.25,70.132,2
Bhutan,4723,12.48,78.45,336.48,7802.44
Sudan,4608,5.68,38.73,250.772,5052.69
Nepal,4757,5.57,6.53,238.665,7501.00
Malta,1621,2.50,45.82,86.654,2192.35
Netherlands,1183,69.91,76.29,27.334,471.31
Bermuda,4990,22.79,81.56,154.581,5385.27
Suriname,4175,12.91,76.90,172.458,6986.51
Anguilla,3548,14.09,51.56,369.494,6401.18
Venezuela,3027,6.71,18.68,261.087,7329.38
Israel,3121,28.59,20.65,84.362,1986
Iceland,4998,40.79,70.50,51.075,1798.44
Zambia,1736,5.81,25.51,355.972,8014.32
Senegal,4749,12.61,7.35,124.06,4296.92
Zimbabwe,1654,9.98,31.12,261.64,8370.31
Germany,4842,48.18,91.93,38.366,650.66
Vanuatu,4711,2.81,4.22,618.072,16182.58
Abkhazia,4502,24.76,60.41,124.408,3368.79
Kazakhstan,4489,13.66,64.99,163.597,3660.71
Poland,2950,39.41,86.40,75.651,1163.60
Kyrgyzstan,3109,6.27,7.63,169.322,5637.98
Macedonia,4995,31.41,89.01,74.693,2096.66
Latvia,4173,36.94,24.15,203.653,1683.68
Japan, 811,6.39,26.56,417.86,10102.85
Honduras,4074,11.97,74.02,210.341,8248.60
Egypt,1689,7.08,57.14,133.333,3655.24
Nicaragua,4190,9.32,75.23,258.645,8518.38
Singapore,2054,12.40,57.91,258.42,11018.35
Serbia,3800,35.59,83.33,68.527,1727.71
Greece,2105,34.27,89.78,104.733,2286.50
Paraguay,3773,3.63,3.90,400.827,10011.14
Namibia,2985,11.68,57.69,300.186,8452.06
