" Black Fibre Networks Ltd (Gloucester, Great Britain",3227,72.01,91.25,8.557,1.60
" LAUSA (Gloucester, Great Britain",3733,68.19,92.91,12.669,1.60
" Vodafone UK (Newbury, Great Britain",1722,18.47,92.69,14.009,51.07
" CONNEXIONS4LONDON Ltd (Bournemouth, Great Britain",2201,32.44,86.79,14.053,51.07
" LAUSA (Gloucester, Great Britain",3227,78.10,91.60,13.061,1.60
" Black Fibre Networks Ltd (Gloucester, Great Britain",3733,69.89,92.89,14.808,1.60
" Vodafone UK (Newbury, Great Britain",2201,73.80,93.10,14.479,51.07
" CONNEXIONS4LONDON Ltd (Bournemouth, Great Britain",1722,36.03,93.00,14.931,51.07
" zero.net.uk Ltd (Studley, Great Britain",1685,81.30,93.37,10.455,87.52
" WightFibre (Cowes, Great Britain",2153,73.28,93.67,13.234,4
" Datatech UK Ltd (Birmingham, Great Britain",3110,71.14,93.21,15.028,103.25
" Virgin Media (Birmingham, Great Britain",2886,61.24,92.39,36.157,117.47
" RapidSwitch (Maidenhead, Great Britain",1149,38.38,84.64,24.28,123.47
" XILO (Maidenhead, Great Britain",3727,76.13,93.17,12.652,123.47
" Warwicknet Ltd. (Coventry, Great Britain",3839,81.66,92.97,9.643,129.23
" Virgin Media (Wolverhampton, Great Britain", 838,78.69,93.56,10.585,129.23
" Uno (Milton Keynes, Great Britain",1153,43.98,93.72,32.753,129.46
" Virgin Media (Luton, Great Britain",3729,72.29,93.09,14.825,130.20
" Virgin Media (Brentford, Great Britain",1234,81.82,93.77,8.624,140.82
" UK Broadband/PCCW (Ealing, United Kingdom",3697,81.19,93.56,9.202,156.63
" Virgin Media (Leicester, Great Britain",3788,84.39,93.56,8.956,157.49
" RapidSwitch (Leicester, Great Britain",3722,85.96,93.34,141.311,157.86
" Netcetera (London, Great Britain",3725,83.09,93.03,13.778,164.81
" London Web (London, Great Britain",4384,84.29,93.52,10.153,164.81
" Virgin Media (London, Great Britain",2220,82.81,93.27,10.96,171.68
" Namesco (London, Great Britain",4008,84.70,93.30,29.88,171.68
" Structured Communications (London, Great Britain",3728,82.23,93.72,8.885,171.68
" Vorboss Limited (London, Great Britain", 385,87.71,88.83,11.032,171.68
" Excell Group PLC (London, Great Britain", 226,51.10,64.26,39.403,171.68
" Peer Point Internet LTD (London, England",4078,83.30,93.58,8.882,171.68
" MWEB Connect (London, Great Britain",5090,66.10,93.08,20.365,171.68
" Vodafone UK (London, Great Britain",4778,84.54,93.85,8.967,171.68
" Virgin Media (Croydon, Great Britain",1854,2.51,74.97,69.262,171.68
" Virgin Media (Bromley, Great Britain",2789,79.86,93.53,8.953,171.68
" Fluidata (Hemel Hempstead, Great Britain",3699,84.49,93.43,8.742,172.53
" Virgin Media (Nottingham, Great Britain",3726,82.51,93.58,9.143,180.46
" RapidSwitch (Nottingham, Great Britain",4249,81.56,93.57,7.093,181.55
" Host Lincoln Limited (Nottingham, Great Britain",3698,72.27,92.93,15.154,193.46
" ServerChoice Ltd (Welwyn Garden City, United Kingdom",4379,80.16,93.50,10.89,193.46
" Virgin Media (Basildon, Great Britain",4143,32.70,93.07,38.888,193.46
" CloudConnX (Eastbourne, Great Britain",4204,81.20,93.75,8.854,195.69
" High Availability Hosting Ltd (Sheffield, Great Britain",3731,82.68,93.53,9.844,213.03
" XILO (Sheffield, Great Britain",3829,84.72,93.89,11.015,213.70
" VooServers Ltd (Maidstone, Great Britain",4657,38.22,92.57,527.737,216.83
" Custodian DataCentre (Maidstone, Great Britain",1365,32.70,93.40,13.729,216.83
" Black Fibre Networks Ltd (Liverpool, Great Britain",4740,67.02,93.50,29.475,216.98
" Virgin Media (Baguley, Great Britain",1675,78.67,93.62,144.441,216.98
