" LAUSA (Gloucester, Great Britain",3733,52.21,93.28,12.771,1.60
" Black Fibre Networks Ltd (Gloucester, Great Britain",3227,75.24,91.25,28.594,1.60
" Vodafone UK (Newbury, Great Britain",2201,47.61,88.87,10.549,51.07
" CONNEXIONS4LONDON Ltd (Bournemouth, Great Britain",1722,44.46,92.91,15.233,51.07
" zero.net.uk Ltd (Studley, Great Britain",1685,70.79,93.61,7.626,87.52
" WightFibre (Cowes, Great Britain",2153,72.29,93.49,13.143,4
" Virgin Media (Birmingham, Great Britain",3110,62.96,93.23,10.449,103.25
" Datatech UK Ltd (Birmingham, Great Britain",2886,43.43,92.09,27.799,117.47
" RapidSwitch (Maidenhead, Great Britain",3727,74.59,93.20,10.115,123.47
" XILO (Maidenhead, Great Britain",1149,48.74,86.93,13.998,123.47
" Warwicknet Ltd. (Coventry, Great Britain",3839,73.72,93.58,6.19,129.23
" Virgin Media (Wolverhampton, Great Britain", 838,74.86,93.70,11.081,129.23
" Uno (Milton Keynes, Great Britain",1153,45.75,93.61,16.612,129.46
" Virgin Media (Luton, Great Britain",3729,65.95,92.96,12.435,130.20
" Virgin Media (Brentford, Great Britain",1234,78.75,93.63,37.03,140.82
" UK Broadband/PCCW (Ealing, United Kingdom",3697,78.48,93.56,6.957,156.63
" RapidSwitch (Leicester, Great Britain",3788,71.08,93.55,6.062,157.49
" Virgin Media (Leicester, Great Britain",3722,81.52,93.63,5.764,157.86
" Namesco (London, Great Britain",4384,68.98,93.19,7.691,164.81
" Vodafone UK (London, Great Britain",3725,71.29,93.18,11.861,164.81
" Peer Point Internet LTD (London, England", 385,66.57,90.49,6.056,171.68
" MWEB Connect (London, Great Britain",2789,84.64,93.58,6.551,171.68
" Excell Group PLC (London, Great Britain",4778,73.26,93.59,5.458,171.68
" Virgin Media (London, Great Britain",1854,52.14,89.25,15.131,171.68
" Netcetera (London, Great Britain",5090,54.69,92.91,14.998,171.68
" London Web (London, Great Britain",3728,78.23,93.59,6.718,171.68
" Vorboss Limited (London, Great Britain",2220,70.08,93.26,5.525,171.68
" Structured Communications (London, Great Britain",4008,64.02,92.79,5.989,171.68
" Virgin Media (Croydon, Great Britain",4078,78.28,93.65,5.853,171.68
" Virgin Media (Bromley, Great Britain", 226,63.77,79.78,14.697,171.68
" Fluidata (Hemel Hempstead, Great Britain",3699,82.87,93.43,6.565,172.53
" Virgin Media (Nottingham, Great Britain",3726,74.88,93.38,6.31,180.46
" RapidSwitch (Nottingham, Great Britain",4249,59.85,93.68,5.366,181.55
" Host Lincoln Limited (Nottingham, Great Britain",3698,67.65,93.03,12.828,193.46
" ServerChoice Ltd (Welwyn Garden City, United Kingdom",4379,74.67,93.33,8.196,193.46
" Virgin Media (Basildon, Great Britain",4143,29.93,91.26,11.525,193.46
" CloudConnX (Eastbourne, Great Britain",4204,84.77,93.66,6.052,195.69
" High Availability Hosting Ltd (Sheffield, Great Britain",3731,67.54,93.30,7.792,213.03
" XILO (Sheffield, Great Britain",3829,78.55,93.67,10.413,213.70
" VooServers Ltd (Maidstone, Great Britain",4657,22.56,92.42,16.704,216.83
" Custodian DataCentre (Maidstone, Great Britain",1365,25.69,93.17,14.115,216.83
" Black Fibre Networks Ltd (Liverpool, Great Britain",4740,28.96,65.52,7.797,216.98
" Virgin Media (Baguley, Great Britain",1675,80.24,93.34,16.163,216.98
" Virgin Media (Manchester, Great Britain",2362,34.30,93.36,15.164,218.66
" TNP Ltd. (Manchester, Great Britain",3732,73.92,92.93,12.699,226.36
" Bright (Sittingbourne, Great Britain",3448,63.93,92.92,11.839,226.92
" Krystal (Ashford, Great Britain",3504,69.93,93.55,8.882,226.92
" Blue Sky Network Ltd (Southport, Great Britain",4537,70.85,93.44,10.472,230.87
" Jersey Telecom Limited (Saint Helier, Jersey",1337,35.92,93.44,7.873,242.27
" Think Dedicated (Canterbury, Great Britain",4127,42.71,91.26,33.27,245.80
" Boundless Comms (Preston, Great Britain",1525,54.66,92.74,16.735,253.89
" Black Fibre Networks Ltd (Leeds, Great Britain",1531,57.44,92.48,14.584,255.54
" Webfusion (Leeds, Great Britain",2262,71.73,93.34,20.268,256.87
" Alabar (Saint-Lo, France",2363,26.19,93.34,14.902,271.52
" Smallworld Media (Morecambe, Great Britain",3519,66.87,92.00,12.385,271.52
" RW Internet (Norwich, Great Britain",3446,55.83,93.30,16.924,280.43
" Bytemark Hosting (York, Great Britain",1518,12.65,90.11,47.785,291.34
" Kingston Communications (Kingston Upon Hull, Great Britain",2223,32.32,70.27,17.071,295.91
